ID,Nombre,Goles
1618,Enrique Raúl Carrera,0
1619,Jorge López,0
1620,Alexis Wilman Noble,5
1621,Ricardo Alberto Ortíz,3
1622,Miguel Ángel Peirano,24
1623,Miguel Ángel Piazza,1
1624,Daniel Gregorio Rodríguez,67
1625,Carlos Alfredo Yaluk,12
1626,José Luis Zalazar,42
1627,Carlos Alberto Arias,1
1628,Jair Gonçálves Prates,11
1629,Nelson Daniel Gutiérrez,11
1630,Néstor Mario Montelongo,3
1631,Carlos Reyes,2
1632,Miguel Rivero,0
1633,Gustavo Daniel Fernández,0
1634,Walkir Silva,28
1635,Miguel Eduardo Abib,4
1637,Doroteo Luis Silva,1
1638,Damián Frascarelli,0
1639,Sergio Javier Clavero Medina,5
1640,Ricardo Cuayatto,1
1641,Néstor Gonçálves,1
1642,José Batlle Perdomo,19
1643,Julio César Pereira,1
1644,Jorge Pérez,0
1645,Oscar Rodríguez,1
1646,Próspero Silva,3
1647,Robert Walter Sosa,0
1648,José Ignacio Villarreal,8
1649,José Alberto Batista González,6
1650,Jorge Caraballo,7
1651,Gary Castillo,2
1652,José Oscar Herrera,41
1653,Rubens Jacob,14
1654,Gerardo Daniel Pilas,8
1655,Hebert Carlos Revetria,20
1656,Gerardo Washington Rodríguez,1
1657,Marcelo Gustavo Rotti,5
1658,Antonio Valentin Alzmendi Casas,15
1659,Julio César Canessa Zucco,1
1660,Héctor Correa,0
1661,Eduardo Da Silva,34
1662,Alfonso Enrique Domínguez,1
1663,Luis Enrique Guelmo,6
1664,Víctor Hurtado,4
1665,Sergio Daniel Oddine,9
1666,Eduardo Pereira,0
1667,Eliseo Rivero,4
1668,Gustavo Daniel Salgado,1
1670,Obdulio Eduardo Trasante,6
1671,Daniel Alejandro Vidal,34
1672,Ricardo Lindolfo Viera,46
1673,Juan Alberto Acosta Silva,5
1674,Luis Alberto Acosta Rodríguez,3
1675,Diego Vicente Aguirre Camblor,71
1676,Juan Pedro Rabino,0
1677,José Luis Russo,6
1678,José María Freire,0
1679,Jorge Miguel Gonçálves,11
1680,Juan José González,10
1681,Walter Hernández,5
1682,Álvaro Roberto Izquierdo,10
1683,Daniel Libonatti,0
1684,Gustavo Christian Matosas,8
1685,Sergio Daniel Pírez,0
1686,Miguel Ángel Santos,0
1687,Jorge Milton Villar,14
1688,Jorge Daniel Cabrera Curbelo,12
1689,Juan Carlos Paz,5
1690,Carlos Alberto Aguilera Novas,87
1691,Adolfo Barán Flis,53
1692,Néstor Gabriel Cedrés Vera,121
1693,Rúben Fernando Dos Santos,1
1694,Óscar Julio Ferro,0
1695,Danilo Baltierra Cravi,13
1696,Pablo Javier Bengoechea Dutra,188
1697,Raúl Federico Bergara Pintos,0
1698,Gustavo Ramón Da Silva,0
1699,José Enrique De los Santos,13
1700,Diego Martín Dorta,17
1702,Robert Lima,17
1703,Andrés Javier Martínez,23
1704,Nelson Artigas Olveira,1
1705,Marcelo Alejandro Otero,53
1706,Darwin Ariel Quintana,2
1707,Gerardo Daniel Rabajda,0
1708,Gustavo Rehermann,7
1709,Jorge Martín Rodríguez,36
1710,Debray Darío Silva,61
1711,Washington Eduardo Tais,14
1712,Óscar Osvaldo Aguirregaray Acosta,11
1713,Gerardo Federico Magallanes,22
1714,Gabriel Marzoa,0
1715,José Luis Odriozola,0
1716,Luis Alberto Romero,84
1717,Nicolás Ezequiel Rotundo,22
1718,Augusto Consani Mathon,0
1719,Heberley Sosa,11
1720,Boris Carlos Silva Acuña,2
1721,Marcelo Carlo Broli Gorgoroso,1
1722,Martín Alejandro García,45
1723,Andrée Aníbal González,13
1724,Sergio Antonio Martínez,0
1725,José Carlos Cancela Durán,8
1726,Marcelo Alejandro De Souza,50
1727,Claudio Sebastián Flores,0
1728,Rúben Fabián Pereira,5
1729,Oscar Vallejo,0
1730,Sergio William Navarro,0
1731,Carlos Favier Soca,1
1732,Edgardo Alberto Adinolfi,4
1733,Daniel Ignacio Borjas,6
1734,Marcelo Enrique De los Santos,0
1735,Sebastián Denegri,0
1736,Darío Larrosa,0
1737,Carlos Germán Macchi,1
1738,Carlos Emanuel Priario,0
1739,Washington Alexis Viera,0
1740,Juan Carlos De Lima,22
1741,Serafín Fabricio García,14
1742,Álvaro Fabián Perea,0
1743,Pablo Enrique Quiñones,1
1744,Clever Marcelo Romero,11
1745,Luis Alejandro De Agustini,0
1746,Fernando Adrián Alberto Ocampo,0
1747,Luciano De Jesús Barboza,4
1748,Federico Martín Elduayen,0
1749,Walter Gerardo Pandiani,64
1750,Mario Rafael Barilko Carro,2
1751,Fernando Carreño Colombo,0
1752,Josemir Lujambio,9
1753,Gabriel Hernán Rojas,0
1754,Christian Daniel Bravo Areneda,2
1755,Facundo Pellistri,3
1756,Francisco Jiménez Tejada,7
1757,Krisztián Vadócz,0
1758,Elcio Martín Correa Rodríguez,0
1759,Denis César Olivera,1
1760,Robert Fabián Herrera,0
1761,Matías Britos Cardoso,8
1762,Sergio Núñez,2
1763,Nicolás Franco,0
1764,Mathías Pintos,0
1765,Ezequiel Mechoso,0
1766,Misael Riascos,0
1767,Fabián Andrés Césaro,7
1768,Guillermo Gonzalo Giacomazzi,10
1769,Mario Evaristo Leguizamón,16
1770,Adrián Berbia Pose,0
