ID,Nombre,Goles,Foto
238,Adolfo Rodríguez Barreto,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\238.jpg
239,Roberto Gregorio Scarone,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\239.jpg
240,Aníbal Traverso,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\240.jpg
241,Joaquín Bermúdez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\241.jpg
242,Leonardo Jesús Cilaurrén Uriarte,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\242.jpg
243,Ricardo Charlón,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\243.jpg
244,Domingo Gelpi,73,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\244.jpg
245,Aurelio Gonnard,24,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\245.jpg
246,Agenor Muñiz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\246.jpg
247,Antonio Ángel Núñez,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\247.jpg
248,José María Ortíz,14,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\248.jpg
249,Lorenzo Pino,54,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\249.jpg
250,José Antonio Vázquez,100,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\250.jpg
251,Raúl Florio Ameal,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\251.jpg
252,Óscar Chirimini Rubilar,51,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\252.jpg
253,Julián Gutiérrez,7,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\253.jpg
254,Ángel Ricardo Laferrara,25,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\254.jpg
255,Rodolfo Domingo Lazarte,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\255.jpg
256,José María Ortiz,31,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\256.jpg
257,Juan Tejera,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\257.jpg
258,Luis Alberto Vecino,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\258.jpg
259,Pedro Washington Vigorito,10,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\259.jpg
260,Elmo Bovio,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\260.jpg
261,Leofar Cámera,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\261.jpg
262,Homero Canti,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\262.jpg
263,José Pedro Colturi,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\263.jpg
264,Washington Díaz,18,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\264.jpg
265,Sergio Dumpiérrez,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\265.jpg
266,Enrique Flamini,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\266.jpg
267,Anito Do Carmo Lopes,15,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\267.jpg
268,Mario Lorenzo,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\268.jpg
269,Máximo Olivera,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\269.jpg
270,Santiago Oubiñas,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\270.jpg
271,Rubens Perdomo,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\271.jpg
272,Flavio Pereyra Nattero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\272.jpg
273,Walter Pereyra,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\273.jpg
274,Silvestre Pisa,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\274.jpg
275,Sixto Valentín Possamai,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\275.jpg
